Model,Parameter,Optimal Value
XGBoost,max_depth,6
,learning_rate,0.1
,n_estimators,200
,subsample,0.8
,colsample_bytree,0.8
,reg_alpha,0.1
,reg_lambda,1
,gamma,0.1
,min_child_weight,1
LightGBM,max_depth,5
,learning_rate,0.05
,n_estimators,300
,num_leaves,31
,min_data_in_leaf,20
,feature_fraction,0.8
,bagging_fraction,0.8
,bagging_freq,5
,lambda_l1,0.1
,lambda_l2,0.1
RandomForest,n_estimators,300
,max_depth,10
,min_samples_split,5
,min_samples_leaf,2
,max_features,sqrt
GradientBoosting,n_estimators,200
,learning_rate,0.1
,max_depth,5
,min_samples_split,5
,min_samples_leaf,2
,max_features,sqrt
,subsample,0.8
